Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
    All industries,1824.9,1903,2049.3,2273.7,2556,2877.8,3055.3,3434.6,3872.7,4366.8,4925.5,5462,6033.5,6175,6631,7313.8,7775.7,8031,8707.5,9434.2,10069.8,10624.6,10808,11381,12024.4,12826.8,13653.2,14463.4,15393.3,16216.785,17272.311,18623.87,18888.252,19178.255,20141.244,21690.16,23512.947,24931.355,26238.5,26989.209,24919.477,26422.363,27999.497,29186.848,30291.347,31740.043,32176.657,32838.51,34495.447,36593.325
Private industries,1605.4,1667,1793,1995,2258.9,2547.7,2689.3,3042.9,3447.9,3900.2,4412.8,4888.2,5388.9,5468.1,5868.2,6496.1,6883.4,7075.2,7702.6,8366.9,8919.9,9386.8,9490.3,9998.7,10592.7,11334.5,12104.9,12864.4,13728.2,14487.02,15437.558,16672.777,16809.081,16963.427,17798.089,19210.489,20889.675,22154.281,23305.632,23869.214,21695.674,23087.247,24635.11,25797.086,26864.969,28248.483,28604.387,29178.654,30717.502,32631.095
"  Agriculture, forestry, fishing, and hunting",57.2,59.5,64.3,74.9,104.8,106.6,108.2,113.1,119.6,140.4,165.6,162.8,178.7,171.2,156.2,182,172.5,165.7,175.1,183.2,202,211.2,205.5,217.1,218.7,237.7,232.7,255.6,257.9,249.763,245.311,243.596,251.356,241.404,268.265,307.197,298.504,302.212,347.041,374.739,340.445,368.845,432.485,452.635,488.45,500.917,455.896,428.011,447.605,446.64
    Farms,49.5,51.8,55.4,63.4,91.3,92,94.4,96.1,99.5,117.6,140.5,137.8,152.6,147,130,154.9,147.7,139.2,147.1,153.7,171.9,179.9,175.3,182.6,182.2,197.5,191.9,215.8,219.4,207.822,199.949,204.316,212.335,201.897,226.839,261.819,251.868,254.42,302.484,329.952,299.142,323.19,383.308,405.729,439.139,445.166,402.362,375.064,391.458,389.219
"    Forestry, fishing, and related activities",7.7,7.7,8.9,11.5,13.5,14.6,13.8,17,20.1,22.8,25.1,25,26.1,24.2,26.2,27.1,24.8,26.5,28,29.6,30.1,31.3,30.2,34.5,36.5,40.2,40.8,39.8,38.5,41.942,45.365,39.283,39.022,39.509,41.426,45.377,46.636,47.792,44.56,44.787,41.302,45.657,49.176,46.902,49.312,55.75,53.534,52.948,56.147,57.421
  Mining,27.1,29.9,29.9,31.1,36.6,57.1,67.6,74.3,84.5,97.4,126.2,173.8,226.2,215.5,193.2,207.4,193.3,130.1,134,135.5,141.7,160.1,152.4,145.2,145.1,143.3,142.2,167.9,176.9,151.537,155.814,218.05,226.107,195.472,252.388,299.469,393.954,444.218,475.551,613.984,404.018,499.297,601.186,613.049,662.888,745.419,493.507,382.162,496.571,623.815
    Oil and gas extraction,13.4,14.2,14.9,15,17.2,27.6,31.8,36,42.3,46.6,62.1,95.7,130,124.3,118.1,125.8,117.8,69.7,75.6,68.8,74.6,87.3,78.6,76.8,78.1,72.9,72.3,96.1,98.5,72.745,85.524,142.988,142.309,116.721,165.982,191.027,249.252,257.413,276.911,388.364,227.565,304.701,372.942,362.652,426.372,476.039,269.679,230.2,305.141,411.718
"    Mining, except oil and gas",10.6,12.6,12.1,12.8,15.6,23.7,27.8,28.9,29.7,33.9,43.3,48.3,49.9,42.3,42.3,47.3,44.9,43,43.8,49.1,50.5,53.2,53.6,52.5,49.1,53.9,54.9,55.2,56.2,55.373,53.05,54.676,55.094,54.442,57.394,67.311,84.276,100.825,104.498,116.162,104.933,112.693,130.879,124.665,114.553,117.311,103.226,90.987,102.635,106.066
    Support activities for mining,3,3,2.9,3.3,3.8,5.9,8,9.4,12.5,16.9,20.8,29.9,46.3,48.8,32.8,34.3,30.6,17.4,14.6,17.5,16.6,19.6,20.2,15.9,17.8,16.4,15,16.5,22.1,23.419,17.24,20.386,28.704,24.309,29.012,41.132,60.426,85.98,94.143,109.458,71.521,81.902,97.366,125.731,121.962,152.069,120.601,60.975,88.795,106.032
  Utilities,30.5,33,35.3,40.2,43.3,52.6,63.3,74,85.9,98.4,115,127.2,148.1,160.8,178.9,182,177.2,160.7,183.1,191.6,204,208.3,219.3,226.9,239.1,242.1,244,255.5,262,268.067,314.786,373.248,446.479,325.154,343.152,351.75,416.184,421.955,451.593,524.896,436.451,494.486,484.889,461.485,491.663,537.642,514.187,477.032,486.292,509.303
  Construction,105.4,108.5,128.7,148.6,163.2,163.8,160.8,181.4,210.7,252.3,287.1,288.4,305.8,295.8,332.9,392.5,432,465.6,493.9,509.1,523.9,530.3,490.9,515.1,545.3,587.7,613.7,666.8,709.1,779.602,841.64,913.886,956.91,969.697,1039.48,1158.06,1287.144,1353.62,1339.134,1275.777,1098.96,1016.651,1020.485,1074.58,1155.7,1258.772,1370.87,1473.121,1547.268,1608.406
  Manufacturing,642.3,634.3,669.3,748,864.1,1004.4,1025.4,1164.2,1325.3,1482.6,1684.3,1810,1970.7,1910.8,2001.7,2200.1,2228.1,2207.1,2412.6,2628.3,2774.4,2836.5,2796,2922.3,3052.6,3282.8,3541.2,3667.9,3898,3962.464,4079.847,4290.462,4046.832,3971.611,4050.673,4361.729,4804.582,5093.517,5404.03,5493.739,4511.065,5019.104,5592.871,5771.296,5939.329,6025.468,5705.524,5551.049,5818.869,6217.035
